flight_id,airline,source,destination,route,departure_time,arrival_time,duration_minutes
SJ010,SPICEJET,CCU,MAA,CCU → MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0
AI155,AIR INDIA,BOM,CCU,BOM → CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0
UK094,VISTARA,BOM,CCU,BOM → CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0
AI245,AIR INDIA,BOM,CCU,BOM → CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0
AI192,AIR INDIA,MAA,BOM,MAA → BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0
SJ158,SPICEJET,DEL,HYD,DEL → HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0
6F196,INDIGO,CCU,MAA,CCU → MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0
AI080,AIR INDIA,BOM,HYD,BOM → HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0
6F025,INDIGO,BLR,BOM,BLR → BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0
6F251,UNKNOWN,DEL,BLR,DEL → BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0
AI137,AIR INDIA,BOM,DEL,BOM → DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0
6F026,INDIGO,BOM,CCU,BOM → CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0
UK167,VISTARA,DEL,MAA,DEL → MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0
UK027,VISTARA,BOM,CCU,BOM → CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0
AI069,UNKNOWN,DEL,BOM,DEL → BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0
AI058,AIR INDIA,BOM,CCU,BOM → CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0
AI140,AIR INDIA,BOM,DEL,BOM → DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0
SJ239,SPICEJET,BOM,CCU,BOM → CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0
6F099,INDIGO,MAA,DEL,MAA → DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0
AI048,AIR INDIA,CCU,DEL,CCU → DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0
SJ112,SPICEJET,HYD,DEL,HYD → DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0
6F164,INDIGO,BLR,BOM,BLR → BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0
UK021,VISTARA,HYD,MAA,HYD → MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0
SJ172,SPICEJET,CCU,DEL,CCU → DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0
AI060,AIR INDIA,DEL,HYD,DEL → HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0
SJ205,SPICEJET,HYD,CCU,HYD → CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0
SJ093,SPICEJET,BLR,BOM,BLR → BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0
6F195,INDIGO,CCU,DEL,CCU → DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0
UK003,UNKNOWN,HYD,DEL,HYD → DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0
UK026,VISTARA,HYD,MAA,HYD → MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0
6F174,INDIGO,DEL,HYD,DEL → HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0
UK067,VISTARA,BOM,CCU,BOM → CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0
SJ149,SPICEJET,HYD,MAA,HYD → MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.00496666666666
6F213,INDIGO,BLR,BOM,BLR → BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0
UK200,VISTARA,CCU,DEL,CCU → DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0
SJ214,SPICEJET,BOM,MAA,BOM → MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0
SJ047,SPICEJET,HYD,BOM,HYD → BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0
AI179,AIR INDIA,HYD,BOM,HYD → BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0
SJ153,SPICEJET,DEL,CCU,DEL → CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0
6F236,INDIGO,BOM,DEL,BOM → DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0
UK059,VISTARA,HYD,MAA,HYD → MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0
SJ001,SPICEJET,BOM,MAA,BOM → MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0
